district,brand_name,branch_name,addr_raw,address_norm,source_id,center_source,match_level,lon,lat
安南區,統一超商股份有限公司,台南巿第六十六分公司,臺南市安南區淵中里安中路三段４３５．４３７號１樓,台南市安南區淵中里安中路3段435437號,89391971,map.com.tw-js:2,PAGE_FALLBACK,120.178693,23.048271
安南區,統一超商股份有限公司,台南市第一一五分公司,臺南市安南區塭南里22鄰長和路2段12巷272號1樓,台南市安南區塭南里22鄰長和路2段12巷272號,24788675,map.com.tw-js:2,PAGE_FALLBACK,120.223153,23.070032
安南區,統一超商股份有限公司,台南市第一六三分公司,臺南市安南區鹿耳里鹽田路2號1樓,台南市安南區鹿耳里鹽田路2號,27259641,map.com.tw-js:2,PAGE_FALLBACK,120.148487,23.035160
安南區,統一超商股份有限公司,台南市第一四四分公司,臺南市安南區安東里安和路一段三０八號,台南市安南區安東里安和路1段三0八號,70770608,map.com.tw-js:2,PAGE_FALLBACK,120.212660,23.032449
安南區,統一超商股份有限公司,台南市第三六四分公司,臺南市安南區溪東里府安路五段98巷56弄33號1樓,台南市安南區溪東里府安路5段98巷56弄33號,83360986,map.com.tw-js:2,PAGE_FALLBACK,120.201200,23.025684
安南區,統一超商股份有限公司,台南市第二九一分公司,臺南市安南區梅花里安中路1段701巷33、35號1樓,台南市安南區梅花里安中路1段701巷33、35號,24814126,map.com.tw-js:2,PAGE_FALLBACK,120.195222,23.041657
安南區,統一超商股份有限公司,台南市第四九三分公司,臺南市安南區大安里義安街86巷29、31號1樓,台南市安南區大安里義安街86巷29、31號,60635679,map.com.tw-js:2,PAGE_FALLBACK,120.195203,23.031745
安南區,統一超商股份有限公司,台南市第四八二分公司,臺南市安南區海佃路四段55巷177號1樓,台南市安南區海佃路4段55巷177號,00189318,map.com.tw-js:2,PAGE_FALLBACK,120.173862,23.053231
安定區,全家便利商店股份有限公司,安定保安分公司,臺南市安定區保西村339之1號、339之3號1樓,台南市安定區保西村339之1號,53002528,map.com.tw-js:2,PAGE_FALLBACK,120.237008,23.121555
安定區,全家便利商店股份有限公司,安定善高分公司,臺南市安定區蘇厝村蘇厝293之68號,台南市安定區蘇厝村蘇厝293之68號,28430488,map.com.tw-js:2,PAGE_FALLBACK,120.251164,23.124895
安定區,全家便利商店股份有限公司,安定海寮分公司,臺南市安定區海寮10-2號、10-3號1樓,台南市安定區海寮10號,53004434,map.com.tw-js:2,PAGE_FALLBACK,120.209959,23.095905
安定區,全聯實業股份有限公司,安定安加分公司,臺南市安定區安加里安定262之22號、262之23號,台南市安定區安加里安定262之22號,91045765,map.com.tw-js:2,PAGE_FALLBACK,120.234929,23.115151
安定區,統一超商股份有限公司,台南市第三三五分公司,臺南市安定區港口245-10號1樓,台南市安定區港口245號,53657384,map.com.tw-js:2,PAGE_FALLBACK,120.235430,23.091924
安定區,統一超商股份有限公司,台南市第三八四分公司,臺南市安定區嘉同里六塊寮10-13、10-15號1樓,台南市安定區嘉同里六塊寮10-13、10號,91080116,map.com.tw-js:2,PAGE_FALLBACK,120.222430,23.082330
安定區,統一超商股份有限公司,台南市第二八四分公司,臺南市安定區安加里安定407號1樓,台南市安定區安加里安定407號,51684625,map.com.tw-js:2,PAGE_FALLBACK,120.236127,23.120637
安定區,統一超商股份有限公司,台南市第四三五分公司,臺南市安定區中榮里許中營78-10號1樓,台南市安定區中榮里許中營78號,89128938,map.com.tw-js:2,PAGE_FALLBACK,120.241462,23.096619
安定區,統一超商股份有限公司,台南市第四九二分公司,臺南市安定區港南里港口55-1號1樓,台南市安定區港南里港口55號,60756510,map.com.tw-js:2,PAGE_FALLBACK,120.233917,23.088273
安定區,統一超商股份有限公司,台南市第四八一分公司,臺南市安定區港尾里港子尾38-3號1樓,台南市安定區港尾里港子尾38號,00051881,map.com.tw-js:2,PAGE_FALLBACK,120.235629,23.104220
安定區,統一超商股份有限公司,台南市第四六０分公司,臺南市安定區蘇厝里蘇厝289-11號1樓,台南市安定區蘇厝里蘇厝289號,94160676,map.com.tw-js:2,PAGE_FALLBACK,120.250823,23.127332
安定區,統一超商股份有限公司,台南縣第８２分公司,臺南市安定區港南村港口一六三號,台南市安定區港南村港口一六三號,16745982,map.com.tw-js:2,PAGE_FALLBACK,120.232966,23.090737
安定區,統一超商股份有限公司,台南縣第８４分公司,臺南市安定區海寮村海寮段八號,台南市安定區海寮村海寮段八號,16749713,map.com.tw-js:2,PAGE_FALLBACK,120.237008,23.121555
安定區,統一超商股份有限公司,台南縣第二二九分公司,臺南市安定區新吉村新吉126-12、126-13號1樓,台南市安定區新吉村新吉126-12、126號,28437026,map.com.tw-js:2,PAGE_FALLBACK,120.210361,23.084789
安定區,統一超商股份有限公司,台南縣第二二六分公司,臺南市安定區蘇林村7號1樓,台南市安定區蘇林村7號,28434338,map.com.tw-js:2,PAGE_FALLBACK,120.237008,23.121555
安定區,萊爾富國際股份有限公司,南縣南定分公司,臺南市安定區六嘉村三二之一號一樓,台南市安定區六嘉村三二之一號,80688038,map.com.tw-js:2,PAGE_FALLBACK,120.237008,23.121555
安定區,萊爾富國際股份有限公司,第五O二七分公司,臺南市安定區海寮32-1號,台南市安定區海寮32號,94178752,map.com.tw-js:2,PAGE_FALLBACK,120.214082,23.097540
安定區,萊爾富國際股份有限公司,第五一一五分公司,臺南市安定區大同89號1樓,台南市安定區大同89號,94010255,map.com.tw-js:2,PAGE_FALLBACK,120.223131,23.083276
安平區,全家便利商店股份有限公司,台南國平分公司,臺南市安平區平通里國平路599之1號,台南市安平區平通里國平路599之1號,27943215,map.com.tw-js:2,PAGE_FALLBACK,120.171288,22.996717
安平區,統一超商股份有限公司,台南市第一五０分公司,臺南市安平區海興里十四鄰安北路一七０之三號一樓,台南市安平區海興里十四鄰安北路一七0之三號,27231840,map.com.tw-js:2,PAGE_FALLBACK,120.161031,23.002982
安平區,萊爾富國際股份有限公司,第四二四O分公司,臺南市安平區國平里健康三街188之1號1樓,台南市安平區國平里健康三街188之1號,24796730,map.com.tw-js:2,PAGE_FALLBACK,120.168704,22.989230
官田區,來來超商股份有限公司,第五十七分公司,臺南市官田區南廍里南廍32號1樓,台南市官田區南廍里南廍32號,53010549,map.com.tw-js:2,PAGE_FALLBACK,120.315430,23.192965
官田區,統一超商股份有限公司,台南縣第一六九分公司,臺南市官田區湖山村98之5號1樓,台南市官田區湖山村98之5號,27257735,map.com.tw-js:2,PAGE_FALLBACK,120.315430,23.192965
官田區,統一超商股份有限公司,台南縣第二０八分公司,臺南市官田區二鎮村25鄰工社西街25巷81號,台南市官田區二鎮村25鄰工社西街25巷81號,28420518,map.com.tw-js:2,PAGE_FALLBACK,120.330548,23.220836
將軍區,統一超商股份有限公司,台南市第二三八分公司,臺南市將軍區長榮里長榮29-2號1樓,台南市將軍區長榮里長榮29號,54374363,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
將軍區,統一超商股份有限公司,台南縣第一八九分公司,臺南市將軍區將富村5鄰49之8號,台南市將軍區將富村5鄰49之8號,27940322,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
將軍區,萊爾富國際股份有限公司,第3205分公司,臺南市將軍區西華村西華67之23號1樓,台南市將軍區西華村西華67之23號,27931273,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
將軍區,萊爾富國際股份有限公司,第四六六九分公司,臺南市將軍區平沙里平沙1-19號1樓,台南市將軍區平沙里平沙1號,83351620,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
山上區,全家便利商店股份有限公司,台南市第二六三分公司,臺南市山上區明和里明和196－1號,台南市山上區明和里明和196號,83111489,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
山上區,統一超商股份有限公司,台南市第九十八分公司,臺南市山上區南洲337-3號1樓,台南市山上區南洲337號,80023130,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
山上區,統一超商股份有限公司,台南市第四００分公司,臺南市山上區山上里山上249、249-1、249-2號1樓,台南市山上區山上里山上249、249-1、249號,90527878,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,全家便利商店股份有限公司,後壁茄苳分公司,臺南市後壁區嘉民里上茄苳146之32號,台南市後壁區嘉民里上茄苳146之32號,80357369,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,全家便利商店股份有限公司,新營國道北分公司,臺南市後壁區竹新里新厝72號,台南市後壁區竹新里新厝72號,53663029,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,全家便利商店股份有限公司,新營國道南分公司,臺南市後壁區竹新里新厝69號,台南市後壁區竹新里新厝69號,53662838,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,全聯實業股份有限公司,台南後壁分公司,臺南市後壁區後壁里後壁97-2、97-3號,台南市後壁區後壁里後壁97-2、97號,93515854,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,統一超商股份有限公司,台南市第二三二分公司,臺南市後壁區菁寮346號1樓,台南市後壁區菁寮346號,54373527,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,統一超商股份有限公司,台南市第二十六分公司,臺南市後壁區後壁村3鄰後壁71號,台南市後壁區後壁村3鄰後壁71號,70824983,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,統一超商股份有限公司,台南市第四六三分公司,臺南市後壁區長短樹里10鄰長短樹24-2號,台南市後壁區長短樹里10鄰長短樹24號,93502318,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,統一超商股份有限公司,台南縣第一四九分公司,臺南市後壁區福安村200號,台南市後壁區福安村200號,27236872,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,萊爾富國際股份有限公司,第五一九四分公司,臺南市後壁區上茄苳127號,台南市後壁區上茄苳127號,96780905,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
後壁區,萊爾富國際股份有限公司,第四六七八分公司,臺南市後壁區後壁195之17號1樓,台南市後壁區後壁195之17號,91074389,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新化區,統一超商股份有限公司,台南市第二二三分公司,臺南市新化區知母義15號之201樓,台南市新化區知母義15號,53672575,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新化區,統一超商股份有限公司,台南縣第８３分公司,臺南市新化區拔里拔林241號1樓,台南市新化區拔里拔林241號,16749158,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新化區,萊爾富國際股份有限公司,第四六三六分公司,臺南市新化區崙子頂64之3、64之5號,台南市新化區崙子頂64之3、64之5號,82948480,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,全家便利商店股份有限公司,台南市第二八四分公司,臺南市新市區社內里社內8－12號,台南市新市區社內里社內8號,90593320,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,全家便利商店股份有限公司,台南市第二六○分公司,臺南市新市區社內里社內102—5號,台南市新市區社內里社內102—5號,83635205,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,全家便利商店股份有限公司,台南市第二四六分公司,臺南市新市區大營里陽光大道26號、28號,台南市新市區大營里陽光大道26號,54915760,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,全家便利商店股份有限公司,新市大社分公司,臺南市新市區大社村335號,台南市新市區大社村335號,28990046,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南市第三五六分公司,臺南市新市區中正路193號,台南市新市區中正路193號,83140668,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南市第三四六分公司,臺南市新市區潭頂里潭頂400號,台南市新市區潭頂里潭頂400號,83751392,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南市第二七九分公司,臺南市新市區三舍里三舍55號1樓,台南市新市區三舍里三舍55號,51547101,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南市第二二０分公司,臺南市新市區大社里大社710號1樓,台南市新市區大社里大社710號,53669635,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南市第六十五分公司,臺南市新市區仁愛街169、171號1樓,台南市新市區仁愛街169、171號,27255693,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南市第四三八分公司,臺南市新市區復興路173、175號1樓,台南市新市區復興路173、175號,89185536,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南縣第６８分公司,臺南市新市區永就村中華路五十三巷９號１樓,台南市新市區永就村中華路五十三巷9號,16442170,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南縣第６分公司,臺南市新市區中興街162號1樓,台南市新市區中興街162號,16747813,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南縣第一０一分公司,臺南市新市區大順三路125號,台南市新市區大順三路125號,70804868,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
新市,統一超商股份有限公司,台南縣第一一一分公司,臺南市新市區大營村大營一三六之一號,台南市新市區大營村大營一三六之一號,70764134,map.com.tw-js:iMarker,PAGE_FALLBACK,121.485900,24.997100
