source_id,name,district,addr_raw,address_norm,center_source,match_level,lon,lat
97160087,台南市第二十七分公司,永康區,臺南市永康區成功里中華路10巷2號1樓、中華路8-7號1樓,台南市永康區成功里中華路10巷2號,NONE,NONE,,
00032512,台南市第四七九分公司,永康區,臺南市永康區大橋里大橋一街245號1樓,台南市永康區大橋里大橋一街245號,NONE,NONE,,
16833535,台南縣第８７分公司,永康區,臺南市永康區埔園里二十四鄰中正路一０二號一樓,台南市永康區埔園里二十四鄰中正路一0二號,NONE,NONE,,
28428856,台南縣第二二０分公司,永康區,臺南市永康區大灣里民族路409號1樓,台南市永康區大灣里民族路409號,NONE,NONE,,
27932054,台南縣第一七九分公司,白河區,臺南市白河區昇安里1鄰三間厝2-56號1樓,台南市白河區昇安里1鄰三間厝2號,NONE,NONE,,
28428504,台南縣第二一八分公司,白河區,臺南市白河區仙草6-30號1樓,台南市白河區仙草6號,NONE,NONE,,
28421426,台南縣第二○九分公司,白河區,臺南市白河區河東里9鄰糞箕湖122之35號,台南市白河區河東里9鄰糞箕湖122之35號,NONE,NONE,,
54912052,第四五八二分公司,白河區,臺南市白河區關嶺里38之1號1樓,台南市白河區關嶺里38之1號,NONE,NONE,,
70824999,台南市第八十三分公司,西港區,臺南市西港區營西村1鄰1號,台南市西港區營西村1鄰1號,NONE,NONE,,
51013302,西港新興分公司,西港區,臺南市西港區慶安里新興街8之78號,台南市西港區慶安里新興街8之78號,NONE,NONE,,
27935144,台南縣第一八五分公司,鹽水區,臺南市鹽水區歡雅里2鄰26號,台南市鹽水區歡雅里2鄰26號,NONE,NONE,,
28428498,台南縣第二一七分公司,鹽水區,臺南市鹽水區義稠110之19號,台南市鹽水區義稠110之19號,NONE,NONE,,
53006735,台南鹽水分公司,鹽水區,臺南市鹽水區後厝70號,台南市鹽水區後厝70號,NONE,NONE,,
27925027,鹽水朝琴分公司,鹽水區,臺南市鹽水區水秀里朝琴路140之2號1樓,台南市鹽水區水秀里朝琴路140之2號,NONE,NONE,,
83140689,台南市第三五八分公司,麻豆區,臺南市麻豆區井東里磚子井141-21號1樓,台南市麻豆區井東里磚子井141號,NONE,NONE,,
24817067,台南市第二九七分公司,麻豆區,臺南市麻豆區油車里油車24-1號1樓,台南市麻豆區油車里油車24號,NONE,NONE,,
94239982,台南市第四五八分公司,麻豆區,臺南市麻豆區謝厝寮里謝厝寮30-30號1樓,台南市麻豆區謝厝寮里謝厝寮30號,NONE,NONE,,
28410498,台南縣第一九七分公司,麻豆區,臺南市麻豆區晉江里民權路10之1號1樓,台南市麻豆區晉江里民權路10之1號,NONE,NONE,,
28417582,台南縣第二０五分公司,麻豆區,臺南市麻豆區南勢里16鄰南勢36-205號,台南市麻豆區南勢里16鄰南勢36號,NONE,NONE,,
28436434,台南縣第二二八分公司,麻豆區,臺南市麻豆區大山里8鄰大山腳1之80號1樓,台南市麻豆區大山里8鄰大山腳1之80號,NONE,NONE,,
28974453,第三六六九分公司,麻豆區,臺南市麻豆區寮里寮子166之17號1樓,台南市麻豆區寮里寮子166之17號,NONE,NONE,,
24808497,第四二六九分公司,麻豆區,臺南市麻豆區麻口里麻豆口1之39號,台南市麻豆區麻口里麻豆口1之39號,NONE,NONE,,
90620614,麻豆博愛分公司,麻豆區,臺南市麻豆區大埕里博愛路3-1號1、2樓,台南市麻豆區大埕里博愛路3號,NONE,NONE,,
43220601,麻豆興中分公司,麻豆區,臺南市麻豆區東角里興中路248之21號,台南市麻豆區東角里興中路248之21號,NONE,NONE,,
90182136,台南市第四一七分公司,龍崎區,臺南市龍崎區楠坑里楠坑12之1號1樓,台南市龍崎區楠坑里楠坑12之1號,NONE,NONE,,
90182121,台南市第四一六分公司,龍崎區,臺南市龍崎區楠坑里楠坑12之1號1樓,台南市龍崎區楠坑里楠坑12之1號,NONE,NONE,,
94185297,台南市第四五四分公司,龍崎區,臺南市龍崎區崎頂里新市子202號1樓,台南市龍崎區崎頂里新市子202號,NONE,NONE,,
22656473,臺南市第８分公司,,臺南市中華路一段６１２號１樓,台南市中華路1段612號,NONE,NONE,,
