Seq,區碼,區名,地段碼,地段名,地號,經度,緯度
288,D35,龍崎區,7036,番社段,849,120.4053121005,22.9322307650
289,D35,龍崎區,7036,番社段,870,120.3996055837,22.9338732013
290,D35,龍崎區,7036,番社段,871,120.4015658876,22.9300987804
291,D35,龍崎區,7036,番社段,872,120.3998230356,22.9289869710
292,D35,龍崎區,7036,番社段,876,120.4002949301,22.9270425893
293,D35,龍崎區,7036,番社段,880,120.3989161575,22.9243257712
294,D35,龍崎區,7036,番社段,881,120.4004823002,22.9239521899
295,D35,龍崎區,7036,番社段,883,120.3978239139,22.9233869629
296,D35,龍崎區,7036,番社段,884,120.3971657511,22.9229435719
297,D35,龍崎區,7036,番社段,891,120.3992767057,22.9256378087
298,D35,龍崎區,7036,番社段,894,120.3988975504,22.9278089767
299,D35,龍崎區,7036,番社段,896-5,120.3974161864,22.9299673757
300,D35,龍崎區,7036,番社段,896-6,120.3971040435,22.9297494397
301,D35,龍崎區,7036,番社段,901,120.3965570730,22.9295076504
302,D35,龍崎區,7036,番社段,902,120.3987599158,22.9294860014
303,D35,龍崎區,7036,番社段,903,120.3991754559,22.9303258337
304,D35,龍崎區,7036,番社段,904,120.3989440174,22.9306902667
305,D35,龍崎區,7036,番社段,905,120.3983275716,22.9306677845
306,D35,龍崎區,7036,番社段,906,120.3991771999,22.9311776942
307,D35,龍崎區,7036,番社段,907,120.3994957345,22.9314294952
308,D35,龍崎區,7036,番社段,936,120.3924364513,22.9375359772
309,D35,龍崎區,7036,番社段,939,120.3906790045,22.9368829417
310,D35,龍崎區,7036,番社段,941,120.3906493870,22.9355921087
311,D35,龍崎區,7036,番社段,942,120.3907237109,22.9348765249
312,D35,龍崎區,7036,番社段,947,120.3911864457,22.9330526436
313,D35,龍崎區,7036,番社段,948,120.3908894453,22.9310550344
314,D35,龍崎區,7036,番社段,951,120.3939070556,22.9299390815
315,D35,龍崎區,7036,番社段,959,120.3922232096,22.9234749537
316,D35,龍崎區,7036,番社段,959-4,120.3949625375,22.9227959621
317,D35,龍崎區,7036,番社段,959-8,120.3915320925,22.9219467716
318,D35,龍崎區,7036,番社段,959-9,120.3908434480,22.9223813290
319,D35,龍崎區,7036,番社段,959-10,120.3903204060,22.9221819144
320,D35,龍崎區,7036,番社段,959-11,120.3903408977,22.9216197381
321,D35,龍崎區,7036,番社段,960,120.3912160495,22.9230814612
322,D35,龍崎區,7036,番社段,966,120.3863732514,22.9295843646
323,D35,龍崎區,7036,番社段,967,120.3866789793,22.9300658738
324,D35,龍崎區,7036,番社段,982,120.3891010035,22.9362553624
